,annotator_name,roi_id,s2_id_gee,s2_id,s2_date,s2_sen2cor_version,s2_fmask_version,s2_cloudless_version,s2_reflectance_conversion_correction,s2_aot_retrieval_accuracy,s2_water_vapour_retrieval_accuracy,s2_view_off_nadir,s2_view_sun_azimuth,s2_view_sun_elevation,s1_id,s1_date,s1_grd_post_processing_software_name,s1_grd_post_processing_software_version,s1_slc_processing_facility_name,s1_slc_processing_software_version,s1_radar_coverage,land_cover,label_type,cloud_coverage,test,difficulty,proj_epsg,proj_geometry,proj_shape,proj_centroid,proj_transform
0,JHOMIRA,ROI_0064,20181217T015619_20181217T020219_T51JVH,S2B_MSIL1C_20181217T015619_N0207_R117_T51JVH_20181217T050643,2018-12-17T02:05:35Z,N02.11,4.3.0,1.5.0,1.03200408454,0,0,0,80.7063309249,66.8192136655,S1B_IW_GRDH_1SDV_20181214T211701_20181214T211726_014043_01A117_9070,2018-12-14T21:17:01Z,Sentinel-1 IPF,2.91,Copernicus S1 Core Ground Segment - UPA,2.91,1.0,60,high,mid-cloudy,2,2.0,32751,"POLYGON ((431430 6783330, 436520 6783330, 436520 6788420, 431430 6788420, 431430 6783330))",509,POINT (122.3218 -29.0537),"10, 0, 431430, 0, -10, 6788420"
1,JHOMIRA,ROI_0064,20190317T015619_20190317T020354_T51JVH,S2B_MSIL1C_20190317T015619_N0207_R117_T51JVH_20190317T060807,2019-03-17T02:05:39Z,N02.11,4.3.0,1.5.0,1.01277386844,0,0,0,49.0326922969,51.2990255006,S1B_IW_GRDH_1SDV_20190315T210846_20190315T210911_015370_01CC79_EFD8,2019-03-15T21:08:46Z,Sentinel-1 IPF,2.91,Copernicus S1 Core Ground Segment - UPA,2.91,1.0,60,high,cloudy,2,4.0,32751,"POLYGON ((431430 6783330, 436520 6783330, 436520 6788420, 431430 6788420, 431430 6783330))",509,POINT (122.3218 -29.0537),"10, 0, 431430, 0, -10, 6788420"
2,JHOMIRA,ROI_0064,20190615T015629_20190615T020446_T51JVH,S2B_MSIL1C_20190615T015629_N0207_R117_T51JVH_20190615T060556,2019-06-15T02:05:48Z,N02.12,4.3.0,1.5.0,0.970012714544,0,0,0,28.324614475,31.6175675807,S1B_IW_GRDH_1SDV_20190612T211702_20190612T211727_016668_01F5EB_A101,2019-06-12T21:17:02Z,Sentinel-1 IPF,2.91,Copernicus S1 Core Ground Segment - UPA,2.91,1.0,60,high,almost-clear,2,2.0,32751,"POLYGON ((431430 6783330, 436520 6783330, 436520 6788420, 431430 6788420, 431430 6783330))",509,POINT (122.3218 -29.0537),"10, 0, 431430, 0, -10, 6788420"
3,JHOMIRA,ROI_0064,20190622T014709_20190622T015123_T51JVH,S2B_MSIL1C_20190622T014709_N0207_R074_T51JVH_20190622T045654,2019-06-22T01:55:54Z,N02.12,4.3.0,1.5.0,0.968694751396,0,0,0,30.9493310286,30.2540869588,S1B_IW_GRDH_1SDV_20190619T210850_20190619T210915_016770_01F904_4B13,2019-06-19T21:08:50Z,Sentinel-1 IPF,2.91,Copernicus S1 Core Ground Segment - UPA,2.91,1.0,60,high,cloud-free,2,1.0,32751,"POLYGON ((431430 6783330, 436520 6783330, 436520 6788420, 431430 6788420, 431430 6783330))",509,POINT (122.3218 -29.0537),"10, 0, 431430, 0, -10, 6788420"
4,JHOMIRA,ROI_0064,20191102T015619_20191102T020403_T51JVH,S2B_MSIL1C_20191102T015619_N0208_R117_T51JVH_20191102T050606,2019-11-02T02:05:42Z,N02.13,4.3.0,1.5.0,1.0139905514,0,0,0,58.5084391642,64.9299231134,S1B_IW_GRDH_1SDV_20191103T211708_20191103T211733_018768_023603_AA3F,2019-11-03T21:17:08Z,Sentinel-1 IPF,3.1,Copernicus S1 Core Ground Segment - DPA,3.1,1.0,60,high,low-cloudy,2,2.0,32751,"POLYGON ((431430 6783330, 436520 6783330, 436520 6788420, 431430 6788420, 431430 6783330))",509,POINT (122.3218 -29.0537),"10, 0, 431430, 0, -10, 6788420"
5,JHOMIRA,ROI_0088,20190816T104029_20190816T105508_T30QWG,S2B_MSIL1C_20190816T104029_N0208_R008_T30QWG_20190816T132018,2019-08-16T10:55:50Z,N02.13,4.3.0,1.5.0,0.974122717194,0,0,0,103.761812356,70.4013178759,S1A_IW_GRDH_1SDV_20190814T182151_20190814T182216_028569_033B29_2727,2019-08-14T18:21:51Z,Sentinel-1 IPF,3.1,Copernicus S1 Core Ground Segment - DPA,3.1,1.0,60,high,almost-clear,2,2.0,32630,"POLYGON ((517110 2173140, 522200 2173140, 522200 2178230, 517110 2178230, 517110 2173140))",509,POINT (-2.812484 19.67642),"10, 0, 517110, 0, -10, 2178230"
6,JHOMIRA,ROI_0088,20190905T104029_20190905T104455_T30QWG,S2B_MSIL1C_20190905T104029_N0208_R008_T30QWG_20190905T125341,2019-09-05T10:55:47Z,N02.13,4.3.0,1.5.0,0.98233042284,0,0,0,122.930047289,68.2857263412,S1A_IW_GRDH_1SDV_20190907T182153_20190907T182218_028919_03474E_C5C6,2019-09-07T18:21:53Z,Sentinel-1 IPF,3.1,Copernicus S1 Core Ground Segment - UPA,3.1,1.0,60,high,mid-cloudy,2,3.0,32630,"POLYGON ((517110 2173140, 522200 2173140, 522200 2178230, 517110 2178230, 517110 2173140))",509,POINT (-2.812484 19.67642),"10, 0, 517110, 0, -10, 2178230"
7,JHOMIRA,ROI_0088,20190930T104021_20190930T104936_T30QWG,S2A_MSIL1C_20190930T104021_N0208_R008_T30QWG_20190930T125317,2019-09-30T10:55:46Z,N02.13,4.3.0,1.5.0,0.995520778838,0,0,0,142.862005228,62.7865734445,S1A_IW_GRDH_1SDV_20191001T182154_20191001T182219_029269_03535E_7896,2019-10-01T18:21:54Z,Sentinel-1 IPF,3.1,Copernicus S1 Core Ground Segment - DPA,3.1,1.0,60,high,cloud-free,2,4.0,32630,"POLYGON ((517110 2173140, 522200 2173140, 522200 2178230, 517110 2178230, 517110 2173140))",509,POINT (-2.812484 19.67642),"10, 0, 517110, 0, -10, 2178230"
8,JHOMIRA,ROI_0088,20200103T104339_20200103T105058_T30QWG,S2B_MSIL1C_20200103T104339_N0208_R008_T30QWG_20200103T115011,2020-01-03T10:55:39Z,N02.13,4.3.0,1.5.0,1.0342289263,0,0,0,154.703304094,43.6138600099,S1A_IW_GRDH_1SDV_20200105T182151_20200105T182216_030669_0383DA_CDB8,2020-01-05T18:21:51Z,Sentinel-1 IPF,3.1,Copernicus S1 Core Ground Segment - DPA,3.1,1.0,60,high,cloudy,2,4.0,32630,"POLYGON ((517110 2173140, 522200 2173140, 522200 2178230, 517110 2178230, 517110 2173140))",509,POINT (-2.812484 19.67642),"10, 0, 517110, 0, -10, 2178230"
9,JHOMIRA,ROI_0088,20200611T103629_20200611T104747_T30QWG,S2B_MSIL1C_20200611T103629_N0209_R008_T30QWG_20200617T075956,2020-06-11T10:55:47Z,N02.14,4.3.0,1.5.0,0.970695565195159,0,0,0,74.4936878596015,72.4061091871313,S1A_IW_GRDH_1SDV_20200609T182154_20200609T182219_032944_03D0DF_48E9,2020-06-09T18:21:54Z,Sentinel-1 IPF,3.2,Copernicus S1 Core Ground Segment - DPA,3.2,1.0,60,high,low-cloudy,2,2.0,32630,"POLYGON ((517110 2173140, 522200 2173140, 522200 2178230, 517110 2178230, 517110 2173140))",509,POINT (-2.812484 19.67642),"10, 0, 517110, 0, -10, 2178230"
