,annotator_name,roi_id,s2_id_gee,s2_id,s2_date,s2_sen2cor_version,s2_fmask_version,s2_cloudless_version,s2_reflectance_conversion_correction,s2_aot_retrieval_accuracy,s2_water_vapour_retrieval_accuracy,s2_view_off_nadir,s2_view_sun_azimuth,s2_view_sun_elevation,s1_id,s1_date,s1_grd_post_processing_software_name,s1_grd_post_processing_software_version,s1_slc_processing_facility_name,s1_slc_processing_software_version,s1_radar_coverage,land_cover,label_type,cloud_coverage,test,difficulty,proj_epsg,proj_geometry,proj_shape,proj_centroid,proj_transform
0,JHOMIRA,ROI_0007,20190202T181559_20190202T182031_T11SQR,S2B_MSIL1C_20190202T181559_N0207_R084_T11SQR_20190202T214334,2019-02-02T18:25:26Z,N02.11,4.3.0,1.5.0,1.03074555155,0,0,0,154.053365944,37.1258294617,S1A_IW_GRDH_1SDV_20190131T133627_20190131T133652_025722_02DBDF_ECE5,2019-01-31T13:36:27Z,Sentinel-1 IPF,2.91,Copernicus S1 Core Ground Segment - UPA,2.91,1.0,60,high,low-cloudy,1,2.0,32611,"POLYGON ((758880 3530140, 763970 3530140, 763970 3535230, 758880 3535230, 758880 3530140))",509,POINT (-114.2358 31.89999),"10, 0, 758880, 0, -10, 3535230"
1,JHOMIRA,ROI_0007,20190831T180919_20190831T181408_T11SQR,S2B_MSIL1C_20190831T180919_N0208_R084_T11SQR_20190831T214618,2019-08-31T18:25:29Z,N02.13,4.3.0,1.5.0,0.980173933371,0,0,0,140.63543144,61.1864944751,S1B_IW_GRDH_1SDV_20190903T014044_20190903T014109_017867_0219FB_220B,2019-09-03T01:40:44Z,Sentinel-1 IPF,3.1,Copernicus S1 Core Ground Segment - UPA,3.1,1.0,60,high,cloud-free,1,1.0,32611,"POLYGON ((758880 3530140, 763970 3530140, 763970 3535230, 758880 3535230, 758880 3530140))",509,POINT (-114.2358 31.89999),"10, 0, 758880, 0, -10, 3535230"
2,JHOMIRA,ROI_0007,20190905T180921_20190905T182114_T11SQR,S2A_MSIL1C_20190905T180921_N0208_R084_T11SQR_20190905T214500,2019-09-05T18:25:26Z,N02.13,4.3.0,1.5.0,0.982478231696,0,0,0,143.262635712,59.8336946306,S1A_IW_GRDH_1SDV_20190904T133635_20190904T133700_028872_0345B7_B754,2019-09-04T13:36:35Z,Sentinel-1 IPF,3.1,Copernicus S1 Core Ground Segment - UPA,3.1,1.0,60,high,almost-clear,1,2.0,32611,"POLYGON ((758880 3530140, 763970 3530140, 763970 3535230, 758880 3535230, 758880 3530140))",509,POINT (-114.2358 31.89999),"10, 0, 758880, 0, -10, 3535230"
3,JHOMIRA,ROI_0007,20200227T181309_20200227T182313_T11SQR,S2B_MSIL1C_20200227T181309_N0209_R084_T11SQR_20200227T214036,2020-02-27T18:25:23Z,N02.14,4.3.0,1.5.0,1.02166791202326,0,0,0,149.758234565384,44.8821526967093,S1B_IW_GRDH_1SDV_20200301T014042_20200301T014107_020492_026D44_A817,2020-03-01T01:40:42Z,Sentinel-1 IPF,3.2,Copernicus S1 Core Ground Segment - DPA,3.2,1.0,60,high,mid-cloudy,1,4.0,32611,"POLYGON ((758880 3530140, 763970 3530140, 763970 3535230, 758880 3535230, 758880 3530140))",509,POINT (-114.2358 31.89999),"10, 0, 758880, 0, -10, 3535230"
4,JHOMIRA,ROI_0007,20200318T180949_20200318T181654_T11SQR,S2B_MSIL1C_20200318T180949_N0209_R084_T11SQR_20200318T214219,2020-03-18T18:25:24Z,N02.14,4.3.0,1.5.0,1.01147528615004,0,0,0,146.087014351824,52.3839057132142,S1B_IW_GRDH_1SDV_20200320T013233_20200320T013258_020769_027618_22D5,2020-03-20T01:32:33Z,Sentinel-1 IPF,3.2,Copernicus S1 Core Ground Segment - DPA,3.2,0.835202118256453,60,high,cloudy,1,2.0,32611,"POLYGON ((758880 3530140, 763970 3530140, 763970 3535230, 758880 3535230, 758880 3530140))",509,POINT (-114.2358 31.89999),"10, 0, 758880, 0, -10, 3535230"
5,JHOMIRA,ROI_0055,20190319T090019_20190319T091418_T32KRF,S2B_MSIL1C_20190319T090019_N0207_R007_T32KRF_20190319T125206,2019-03-19T09:25:32Z,N02.11,4.3.0,1.5.0,1.01151939086,0,0,0,61.4685469171,57.4184993615,S1B_IW_GRDH_1SDV_20190321T173759_20190321T173824_015455_01CF31_5A01,2019-03-21T17:37:59Z,Sentinel-1 IPF,2.91,Copernicus S1 Core Ground Segment - UPA,2.91,1.0,60,high,cloud-free,1,1.0,32732,"POLYGON ((844050 8076680, 849140 8076680, 849140 8081770, 844050 8081770, 844050 8076680))",509,POINT (12.26074 -17.346),"10, 0, 844050, 0, -10, 8081770"
6,JHOMIRA,ROI_0055,20190428T085559_20190428T091911_T32KRF,S2B_MSIL1C_20190428T085559_N0207_R007_T32KRF_20190428T124209,2019-04-28T09:25:42Z,N02.11,4.3.0,1.5.0,0.988946020509,0,0,0,40.1203174903,49.4032781503,S1B_IW_GRDH_1SDV_20190426T173800_20190426T173825_015980_01E08C_38ED,2019-04-26T17:38:00Z,Sentinel-1 IPF,2.91,Copernicus S1 Core Ground Segment - UPA,2.91,1.0,60,high,almost-clear,1,2.0,32732,"POLYGON ((844050 8076680, 849140 8076680, 849140 8081770, 844050 8081770, 844050 8076680))",509,POINT (12.26074 -17.346),"10, 0, 844050, 0, -10, 8081770"
7,JHOMIRA,ROI_0055,20191010T085901_20191010T091932_T32KRF,S2A_MSIL1C_20191010T085901_N0208_R007_T32KRF_20191010T105811,2019-10-10T09:25:37Z,N02.13,4.3.0,1.5.0,1.00120750169,0,0,0,66.6371901888,64.9651542245,S1B_IW_GRDH_1SDV_20191011T173808_20191011T173833_018430_022B85_F1A5,2019-10-11T17:38:08Z,Sentinel-1 IPF,3.1,Copernicus S1 Core Ground Segment - DPA,3.1,1.0,60,high,mid-cloudy,1,2.0,32732,"POLYGON ((844050 8076680, 849140 8076680, 849140 8081770, 844050 8081770, 844050 8076680))",509,POINT (12.26074 -17.346),"10, 0, 844050, 0, -10, 8081770"
8,JHOMIRA,ROI_0055,20191224T090259_20191224T091858_T33KTA,S2B_MSIL1C_20191224T090259_N0208_R007_T33KTA_20191224T111530,2019-12-24T09:25:29Z,N02.13,4.3.0,1.5.0,1.03327120429,0,0,0,107.768101372,65.2245024479,S1B_IW_GRDH_1SDV_20191222T173807_20191222T173832_019480_024CCF_3DFB,2019-12-22T17:38:07Z,Sentinel-1 IPF,3.1,Copernicus S1 Core Ground Segment - DPA,3.1,1.0,60,high,low-cloudy,1,3.0,32732,"POLYGON ((844050 8076680, 849140 8076680, 849140 8081770, 844050 8081770, 844050 8076680))",509,POINT (12.26074 -17.346),"10, 0, 844050, 0, -10, 8081770"
9,JHOMIRA,ROI_0055,20200207T090131_20200207T091251_T32KRF,S2A_MSIL1C_20200207T090131_N0209_R007_T32KRF_20200207T103033,2020-02-07T09:25:27Z,N02.14,4.3.0,1.5.0,1.02951928414,0,0,0,89.9565924786,61.3582438238,S1B_IW_GRDH_1SDV_20200208T173805_20200208T173830_020180_026341_C5D1,2020-02-08T17:38:05Z,Sentinel-1 IPF,3.2,Copernicus S1 Core Ground Segment - DPA,3.2,1.0,60,high,cloudy,1,2.0,32732,"POLYGON ((844050 8076680, 849140 8076680, 849140 8081770, 844050 8081770, 844050 8076680))",509,POINT (12.26074 -17.346),"10, 0, 844050, 0, -10, 8081770"
10,FERNANDO,ROI_0087,20190131T182611_20190131T183119_T11SNU,S2A_MSIL1C_20190131T182611_N0207_R127_T11SNU_20190131T200953,2019-01-31T18:34:42Z,N02.11,4.3.0,1.5.0,1.03125473767,0,0,0,155.459102091,34.2246443837,S1B_IW_GRDH_1SDV_20190130T014126_20190130T014151_014717_01B708_02DF,2019-01-30T01:41:26Z,Sentinel-1 IPF,2.91,Copernicus S1 Core Ground Segment - DPA,2.91,1.0,60,high,mid-cloudy,1,4.0,32611,"POLYGON ((591910 3810830, 597000 3810830, 597000 3815920, 591910 3815920, 591910 3810830))",509,POINT (-115.9717 34.4576),"10, 0, 591910, 0, -10, 3815920"
